feature,mean_abs_shap
cat__COV_SCHEME_Mis,0.0
cat__COV_SCHEME_P,0.0
cat__offense_JAX,0.0
cat__route_xd9s,0.0
cat__offense_IND,0.0
num__season,0.0
cat__offense_HST,0.0
cat__offense_GB,0.0
cat__offense_DAL,0.0
cat__offense_CLV,0.0
cat__offense_CIN,0.0
cat__offense_CAR,0.0
cat__offense_BUF,0.0
num__bd_pistol,0.0
num__bd_under,0.0
cat__design_read_flag_1,0.0
cat__offense_NYG,0.0
cat__READ_CHK,0.0
cat__offense_SF,0.0
cat__route_xg,0.0
cat__route_xgh2,0.0
cat__route_xgh3,0.0
cat__route_xj,0.0
cat__route_xj9,0.0
cat__defense_DAL,0.0
cat__route_xu,0.0
cat__route_xuxd,0.0
cat__defense_CLV,0.0
cat__align_1,0.0
cat__route_89,0.0
cat__align_5,0.0
cat__defense_BUF,0.0
cat__defense_BLT,0.0
cat__defense_ATL,0.0
cat__align_9f,0.0
cat__offense_WAS,0.0
cat__align_h2/h3,0.0
cat__align_h4/h5,0.0
cat__align_h8/h9,0.0
cat__align_xd,0.0
cat__align_xo,0.0
cat__offense_TB,0.0
cat__route_89s,0.0
cat__route_786,0.0
cat__route_879,0.0
cat__route_876,0.0
cat__skp_pos_FB-L,0.0
cat__skp_pos_FB-R,0.0
cat__skp_pos_HB,0.0
cat__skp_pos_HB-L,0.0
cat__defense_PIT,0.0
cat__skp_pos_MIA,0.0
cat__skp_pos_SLT-L,0.0
cat__skp_pos_SLT-R,0.0
cat__defense_NYJ,0.0
cat__skp_pos_SLT-iL,0.0
cat__skp_pos_SLT-iL^,0.0
cat__skp_pos_SLT-iR,0.0
cat__skp_pos_SLT-iR^,0.0
cat__skp_pos_SLT-oL,0.0
cat__skp_pos_SLT-oR,0.0
cat__skp_pos_SLT-oR^,0.0
cat__skp_pos_TE-L,0.0
cat__skp_pos_TE-L^,0.0
cat__skp_pos_TE-R,0.0
cat__skp_pos_TE-R^,0.0
cat__skp_pos_TE-iL,0.0
cat__skp_pos_TE-iL^,0.0
cat__skp_pos_TE-iR,0.0
cat__skp_pos_TE-iR^,0.0
cat__skp_pos_TE-oL,0.0
cat__skp_pos_TE-oL^,0.0
cat__skp_pos_TE-oR,0.0
cat__skp_pos_TE-oR^,0.0
cat__skp_pos_WR-L,0.0
cat__skp_pos_FB,0.0
cat__defense_SF,0.0
cat__qb_pos_P,0.0
cat__form_1X1,0.0
cat__form_align_ACE,0.0
cat__form_align_BUNCH-L,0.0
cat__form_3X2,0.0
cat__form_align_EMPTY-L,0.0
cat__form_align_EMPTY-R,0.0
cat__form_align_HEAVY,0.0
cat__form_align_TREY-L,0.0
cat__form_align_TREY-R,0.0
cat__form_align_TRIPS-R,0.0
cat__form_2X1,0.0
cat__form_align_WING-R,0.0
cat__form_1X2,0.0
cat__hash_M,0.0
cat__personnel_2.0,0.0
cat__heavy_1.0,0.0
cat__personnel_3.0,0.0
cat__personnel_10.0,0.0
cat__form_0X4,0.0
cat__defense_WAS,0.0
cat__defense_TEN,0.0
cat__personnel_14.0,0.0
cat__personnel_20.0,0.0
cat__defense_TB,0.0
cat__personnel_22.0,0.0
cat__personnel_23.0,0.0
cat__personnel_30.0,0.0
cat__personnel_31.0,0.0
cat__heavy_0.0,0.0
cat__defense_NYG,0.0
cat__defense_NE,0.0
cat__skp_role_FHO,0.0
cat__route_69,0.0
cat__route_395,0.0
cat__route_396,0.0
cat__route_39s,0.0
cat__route_43,0.0
cat__route_46,0.0
cat__route_47,0.0
cat__route_49,0.0
cat__route_49s,0.0
cat__route_5,0.0
cat__defense_LAC,0.0
cat__route_63,0.0
cat__route_64,0.0
cat__route_669,0.0
cat__route_695,0.0
cat__route_38s,0.0
cat__route_696,0.0
cat__route_69b,0.0
cat__route_69s,0.0
cat__defense_LA,0.0
cat__route_76,0.0
cat__route_78,0.0
cat__route_78s,0.0
cat__route_79,0.0
cat__route_79s,0.0
cat__defense_KC,0.0
cat__route_83,0.0
cat__route_86,0.0
cat__route_87,0.0
cat__route_39,0.0
cat__route_38,0.0
cat__skp_role_FPRO,0.0
cat__route_193,0.0
cat__skp_role_FRTE,0.0
cat__skp_role_PPRO,0.0
cat__skp_role_RBL,0.0
cat__skp_role_RTE,0.0
cat__skp_role_SCBL,0.0
cat__route_0,0.0
cat__route_0t,0.0
cat__route_0u,0.0
cat__route_1,0.0
cat__route_12,0.0
cat__route_123,0.0
cat__route_16,0.0
cat__route_19,0.0
cat__route_19b,0.0
cat__defense_LV,0.0
cat__route_21,0.0
cat__route_214,0.0
cat__route_26,0.0
cat__offense_ATL,0.0
cat__route_29,0.0
cat__route_293,0.0
cat__route_295,0.0
cat__route_296,0.0
cat__route_29s,0.0
cat__route_31,0.0
cat__route_316,0.0
cat__route_339,0.0
cat__route_34,0.0
cat__route_27,0.0
