Season,pos_group,tier_p90,tier_p70,tier_p50,tier_p30
2022,Backfield,1.1891417032852503,1.1466552317358871,1.1006044108618616,1.0763546916353268
2022,TE,1.055370130351574,1.016426098560212,0.9813263991486987,0.9646815860745426
2022,WR,1.0538436721070292,1.0076918905871404,0.9771984181564837,0.9473614317361383
2023,Backfield,1.200122794100456,1.1370205622944571,1.08571343623366,1.0447866208646934
2023,TE,1.017420632656449,0.9907458240669745,0.969187644965853,0.9381119620295382
2023,WR,1.007435473607444,0.9686734838935225,0.9341495673232934,0.9030058782464259
2024,Backfield,1.1457596635604026,1.10588621182814,1.072401342123955,1.04182378563266
2024,TE,1.0388452064677194,1.0097296358951822,0.9735428058435304,0.9282224090269291
2024,WR,0.9800267166422526,0.9514767856501902,0.9243487413163627,0.8974618484290694
2025,Backfield,1.1542096561264823,1.0974661858322081,1.0336007587923077,1.0185862625678352
2025,TE,1.010560969914521,0.9706985233445371,0.948616603136357,0.9162141266902406
2025,WR,0.9560453112854007,0.9245888764322068,0.8976734869724929,0.8644047815339554
