Season,Week,pos_group,tier_p90,tier_p70,tier_p50,tier_p30
2022,1,Backfield,23.3364293496976,15.909426375694613,11.403875386743607,5.00309401687743
2022,1,TE,28.379656398038964,17.982140115618808,12.723845076264297,5.511465768670314
2022,1,WR,38.238218377606664,28.22041095705246,20.215897573528558,10.400269503806376
2022,2,Backfield,20.97775822649393,15.273804521277945,9.829855684261046,5.2813623814408635
2022,2,TE,31.98784296464945,16.639099067034675,10.507425482856592,5.310086891994774
2022,2,WR,39.628632600632336,29.519576863117365,19.913158990673573,9.596734529969185
2022,3,Backfield,23.919784253550127,15.58296156652288,10.879434560678767,5.923938810420782
2022,3,TE,28.5875944543868,18.129352472717827,11.769960694926155,5.6915069049649265
2022,3,WR,41.412562429274054,31.048506129201822,20.734029956715403,10.812443413805356
2022,4,Backfield,21.374955488986632,14.388651341541436,9.905870377617621,4.912350666818714
2022,4,TE,28.223711219409804,15.857626014897862,11.112127855419994,5.791049216148284
2022,4,WR,34.58829626375405,26.18738691433996,19.39126249678558,9.518022806548705
2022,5,Backfield,20.907372505534738,14.921687750861366,9.114444819111714,4.804091462590085
2022,5,TE,27.82648445824081,16.112957907172134,9.956576135259137,5.852062788116158
2022,5,WR,37.87953203282846,28.098901927657366,18.98395077893038,9.278448946419113
2022,6,Backfield,23.51133666812255,16.735277809840294,9.111771205542682,4.181388735456062
2022,6,TE,31.510952179816933,17.107921970366142,11.585634752450702,6.2142359136168155
2022,6,WR,38.025984212688044,28.741904495286892,18.311594372346992,8.369267527093408
2022,7,Backfield,24.87501705016009,13.634317893588417,9.671623175918949,5.728723626981411
2022,7,TE,27.115054332305515,15.798743670493733,9.789237790184735,6.531065512992007
2022,7,WR,38.92292272664651,26.25960265828834,17.215921485112773,7.841580879439326
2022,8,Backfield,25.228201777387607,14.386277211541994,9.61707660152074,4.54017082154508
2022,8,TE,26.227858129847014,17.551231727380383,10.265551025477258,4.694495645832158
2022,8,WR,34.608529247097756,27.052873936806446,17.94866130241276,9.743624739256141
2022,9,Backfield,22.340125771016858,12.476406800695226,8.640800242465184,4.21381792985417
2022,9,TE,28.624178797301006,17.241950997981895,9.898383832382574,5.599884387494416
2022,9,WR,35.3586261509537,27.916046889052666,20.02883080338758,11.50513695142468
2022,10,Backfield,24.37909130489633,12.049233826768223,7.194415336019474,3.0816058852936288
2022,10,TE,29.723600856252638,18.0367097390142,8.217845472144909,5.818784154685655
2022,10,WR,37.36783299690797,28.109090028517244,16.58647234167909,8.905761643219744
2022,11,Backfield,20.33784479578974,12.317614784754293,6.825548646130782,4.031702891896686
2022,11,TE,27.453441201528545,16.93223069752909,10.749902344630787,6.00089101661285
2022,11,WR,33.04148505865987,25.894978221408785,17.879594485938277,7.634959952772308
2022,12,Backfield,23.319754557254594,12.566879620253168,8.41553107055423,4.226606764270862
2022,12,TE,26.945987194833435,18.61080556640113,11.90686378560859,6.023027979208816
2022,12,WR,36.51178909727738,28.146829947115528,19.814232345960225,9.208040285186163
2022,13,Backfield,25.322933182291866,14.07534070708187,10.45975097641975,5.226745394441236
2022,13,TE,26.97284473740304,17.4200171089268,10.137145939519133,6.463408555184977
2022,13,WR,36.148955310993834,26.747485106538168,17.238956751092257,7.850532161911494
2022,14,Backfield,22.895334987361558,15.198913862898221,8.514089405579176,5.863172525115644
2022,14,TE,28.610417517964976,17.520761724171837,10.75645239643234,4.428804330197836
2022,14,WR,39.805360250692615,30.163174820794598,22.437863273958733,9.648905034015126
2022,15,Backfield,21.891355985193254,14.149797217839764,9.140662459183241,5.0288189446191005
2022,15,TE,26.224046076947854,17.655387957656526,11.39259986590837,6.252322800642786
2022,15,WR,39.0152070891216,27.201590960242466,19.931928996398838,11.926042946607636
2022,16,Backfield,20.688253643642014,12.880824265232262,8.94093746606032,4.495079515617438
2022,16,TE,27.286105950485315,15.025001776921819,9.0715660935657,4.725615501922404
2022,16,WR,37.000369360304944,26.161729332091415,19.906557412058874,8.488685629713741
2022,17,Backfield,18.947495871342422,13.520115398253965,8.362223360102917,3.949149992159421
2022,17,TE,26.503246715612946,17.749780183162905,9.012126898442753,5.730579403664047
2022,17,WR,34.48990648187181,25.80399295818024,16.81263276122339,8.616873863389548
2022,18,Backfield,18.675897752947066,12.80167499510166,8.58688413439958,4.402557882960906
2022,18,TE,27.209811122891995,16.404109058727464,9.562188068719033,4.609530179921705
2022,18,WR,33.528353616064535,24.76024078798259,18.46669058229854,9.19304531443724
2023,1,Backfield,21.970771114904277,15.732255621392467,9.553598432034443,5.0451962046752765
2023,1,TE,27.487832598709545,18.163503502550903,8.563693609487732,3.78561354889895
2023,1,WR,35.368863884970175,27.47180587960135,20.85947682286364,9.575504947499635
2023,2,Backfield,23.417807525658077,14.770306109542332,8.521636776372864,4.921454751821402
2023,2,TE,29.70508353462213,18.575984932487955,9.422198397755048,5.685075879690752
2023,2,WR,36.887359520629275,27.703891231623384,17.642017763496114,8.69575151665416
2023,3,Backfield,24.9250648202402,14.304601945574273,9.128167726531817,5.079739100809982
2023,3,TE,27.078002196209038,19.764560768664715,10.337732504858788,6.039761311404967
2023,3,WR,39.27022849753711,29.01342060954955,20.5725001171599,9.23860289942657
2023,4,Backfield,23.08155423221301,14.753689296932047,8.968027722668838,5.10185226007404
2023,4,TE,25.689923335963535,16.044420736544048,8.38877936289434,5.330060881513717
2023,4,WR,32.72745105479713,25.158204571281544,18.313135123078347,9.247703076759608
2023,5,Backfield,22.170198450099786,15.562343618304256,9.982055027288755,4.126156735385791
2023,5,TE,25.68581664330641,20.28936616666928,9.32832332702323,6.0251679936903075
2023,5,WR,36.57297052867203,25.068104836857795,17.265895054372585,8.657717895489062
2023,6,Backfield,23.115597868896845,13.749012436906543,8.080464769059153,4.259273420419589
2023,6,TE,29.458027204433506,18.13541106103749,9.70170518235646,4.580909691388365
2023,6,WR,35.62485435468476,26.758554989650595,18.271920587194703,8.068440037173316
2023,7,Backfield,22.96358163674777,13.791662718802364,9.141901883664438,5.107330088093386
2023,7,TE,28.03041255347251,17.090364353348793,10.50320765466734,4.979481449391617
2023,7,WR,35.76029373404647,25.305944646576478,18.360409497037153,8.726165132260137
2023,8,Backfield,21.007666465674017,16.017285783502633,9.592859839811533,6.011192995375861
2023,8,TE,29.876173363228954,16.886150708095258,10.457818054595373,5.838529028020597
2023,8,WR,35.935521174177865,26.710311593736055,17.94629360225555,9.257913313328249
2023,9,Backfield,22.997398721356006,15.077662744211377,11.253928546943218,5.71990429764374
2023,9,TE,29.79047149398463,15.869427087566448,10.854034412010572,5.384644420320889
2023,9,WR,32.95502050277912,24.437113447388274,18.390473596995097,9.788684797182567
2023,10,Backfield,21.470299512305285,15.1161119325394,9.708983463013062,5.149800403242881
2023,10,TE,26.173250192349922,15.929249503322612,11.794585129073806,5.924935636939929
2023,10,WR,35.79129683363669,26.761608211406482,19.99136302327331,9.196095556567467
2023,11,Backfield,23.52497662628988,13.946468204117913,8.449258435986463,6.0371540018343754
2023,11,TE,28.405849050489103,16.029026086112683,8.755817824816067,4.125253158075737
2023,11,WR,32.759972344,26.859705823681292,19.582523406505036,9.419603233571218
2023,12,Backfield,24.62993371622792,16.25010473359732,10.563210735101613,5.6719176851659325
2023,12,TE,27.688664032841384,14.893892116236524,9.435401587841824,5.758037567139861
2023,12,WR,35.95926131440868,25.949678467354868,19.18038613934297,8.205789640420614
2023,13,Backfield,23.53536203172938,15.661264291257382,10.303149913193298,4.820972227357185
2023,13,TE,24.06207926223619,15.71246845812067,9.143158245943436,6.7366607659204
2023,13,WR,35.20824134360316,23.367129255389937,16.68673256040575,6.467316279136744
2023,14,Backfield,25.123831731200106,14.553019561915816,8.87385079216013,4.39394895456625
2023,14,TE,29.182508624115627,18.338648543855243,8.27132624294286,4.991792995825545
2023,14,WR,35.54178411170728,27.530886622937103,18.169828032270622,7.374302445163416
2023,15,Backfield,20.752386811539882,13.811073157517,10.59605043666492,5.883408351707167
2023,15,TE,29.35814078773263,16.287994327610136,8.635129386397281,5.628688518321838
2023,15,WR,33.2256531944711,24.981327106545983,15.906708130580487,8.822467243370674
2023,16,Backfield,22.411028591775548,15.325598568371738,9.591899738345228,5.588270897388443
2023,16,TE,29.128391336601318,17.49563280781655,8.513035148182126,5.051005037032715
2023,16,WR,35.68526126308451,27.09069757990369,19.176186082272718,9.684419689166898
2023,17,Backfield,20.679859525278616,14.370252369601193,8.803075062990054,4.985605105079486
2023,17,TE,27.488945975028884,19.29543215774747,9.99742144238736,5.3261999489194185
2023,17,WR,32.136443944158955,25.136324098155622,17.06500903469005,7.327916240818474
2023,18,Backfield,19.101003938455086,12.001222237730984,8.424149520163873,4.906869443778021
2023,18,TE,23.30881336047194,16.146083536989106,12.148090197120014,4.960358337334402
2023,18,WR,29.67385381014427,22.54954060026537,16.75419999481631,8.371464822075753
2024,1,Backfield,20.806761759063093,14.839904126446543,10.008038969009743,6.0791217442380985
2024,1,TE,24.544446512718054,17.29894484832882,10.52015044706717,6.886147168449485
2024,1,WR,31.851035064526265,24.379375137761652,18.78524875984401,7.032676390907947
2024,2,Backfield,22.859468921777488,14.321152005583686,7.4818908428824065,4.647789985582596
2024,2,TE,26.233378782672524,17.008674791115478,9.383978413568718,5.8534060516796895
2024,2,WR,33.09394246589807,24.054518880576307,16.63364800277704,8.650693011546252
2024,3,Backfield,21.266204664127155,16.803953917981776,10.51238927280719,6.045754109587313
2024,3,TE,28.052338782346926,16.2220996771149,10.198645079550595,6.7526415285689625
2024,3,WR,36.63509450536084,26.866903979339753,17.44822801899506,9.581982130479926
2024,4,Backfield,21.80612762206247,13.997156437502385,9.259282600777588,5.7248693100126875
2024,4,TE,25.41012223360303,15.665812096585071,9.606620676645674,6.413790718556707
2024,4,WR,34.782200100741555,23.216416681982455,17.88603096438006,7.521285866158005
2024,5,Backfield,23.182731067275782,16.37057186508219,11.564568451483929,6.449262053161857
2024,5,TE,30.37334477365944,20.116057260566283,10.323817590587295,6.780523423749648
2024,5,WR,36.865364238620245,28.400248677343594,20.420731614041237,8.555428603929252
2024,6,Backfield,22.312413061999965,15.233182058970842,10.72261291070439,6.772625548576673
2024,6,TE,25.76354037593214,16.72895491280038,8.984275961024084,4.91401462056418
2024,6,WR,31.99756458407503,25.454464537868155,19.895072839807916,12.74892039709295
2024,7,Backfield,20.41477051915419,13.53202104453085,8.537744601982768,4.335702706296564
2024,7,TE,26.405662623628732,15.772226176575531,9.492820213627416,4.76768473304853
2024,7,WR,31.709639175011787,23.57902025606654,16.69086874822478,9.748999904204647
2024,8,Backfield,22.9517978319222,15.045487036685776,10.879462564069424,5.000517969221136
2024,8,TE,27.74253898054109,17.856451030686895,11.211635853257944,6.673792381874126
2024,8,WR,34.03884914110262,25.329988174161244,18.57241682928856,10.269221528915589
2024,9,Backfield,23.793337049052628,16.7835378720774,8.601861639473904,6.099847845261975
2024,9,TE,29.44921729971523,16.670002570376205,9.074764369315703,5.479947224723478
2024,9,WR,35.81713135653414,22.43597078846038,17.43932354421676,8.538915875697779
2024,10,Backfield,20.472268923739897,12.472347144243042,7.328955298321732,2.9296475654275578
2024,10,TE,25.89502443701187,15.339556568488026,9.107086619657956,5.203213847440378
2024,10,WR,29.97467095524201,23.335070073358608,15.741534398259809,6.930877101391399
2024,11,Backfield,21.063059902277356,14.366484646094955,8.965887844204195,4.52890863682432
2024,11,TE,27.40725169740671,19.719433710886637,11.476393304300798,5.938986498837715
2024,11,WR,31.942156388099956,25.002063508307813,16.80706278552268,9.18179722178065
